ordem,html,tipo,titulo,caminho,url_origem,descricao,imagens_base,marcadores,rotulos,uso_no_produto,rota_sugerida
11,01_histologia-basica/01_preparacao-do-teci/11_tissue-preparation/index.html,página de lâmina,Electron microscopy,Histologia Básica > Preparação do Tecido > Tissue preparation 11,https://digitalhistology.org/histology-basics/tissue-preparation/tissue-11/,"These images show a transmission electron microscope (TEM) along with a schematic of its inner components. The optics of a TEM are analogous to those of a compound light microscope except that the illumination is provided by a beam of electrons, which are focused by electromagnetic, rather than glass, lenses. The images produced result from the interaction of the electrons with the heavy metals as they pass through the tissue section. This type of electron microscope is referred to as a transmission electron microscopy because electrons pass through the specimen.",1,12,Column | Electron source | Electron beam | Sample entry port | Grid with sections | Lenses | Condenser lens | Objective lens | Projector lens | Viewing screen | Binocular viewer | Image source,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/preparacao-do-teci/tissue-preparation
12,01_histologia-basica/01_preparacao-do-teci/index.html,nó de navegação curricular,Tissue Preparation,Histologia Básica > Preparação do Tecido,https://digitalhistology.org/histology-basics/tissue-preparation/,,0,0,,"Converter em índice curricular pesquisável, com objetivos, mapa de subtópicos, progresso e acesso às lâminas descendentes.",/manual-clinico/histologia/preparacao-do-teci
13,01_histologia-basica/02_corantes/01_stains-01/index.html,página de lâmina,Stains 01,Histologia Básica > Corantes > Stains 01,https://digitalhistology.org/histology-basics/stains/stains-01/,"To visualize the histological structure in a tissue section, it is necessary to apply a stain. Stains provide contrast and color to the section and they can also reveal chemical information about the structures. The following images show examples of stains used in light microscopy (LM) and electron microscopy (EM).",1,1,Marcador 1,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/corantes/stains-01
14,01_histologia-basica/02_corantes/02_stains-02/index.html,página de lâmina,Hematoxylin and esosin (H&E) staining,Histologia Básica > Corantes > Stains 02,https://digitalhistology.org/histology-basics/stains/stains-02/,"The most commonly used stains for routine histology and pathology sections are hematoxylin and eosin. Hematoxylin has a purple color; eosin has a pinkish-orange color. They are referred to as conventional stains, because they bind to tissue elements based on simple charge interactions. Pancreas, 1000x",1,5,Basophilia | Nuclei | Rough endoplasmic reticulum | Eosinophilia | Cytoplasm,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/corantes/stains-02
15,01_histologia-basica/02_corantes/03_stains-3/index.html,página de lâmina,Metal stains for electron microscopy (EM),Histologia Básica > Corantes > Stains 3,https://digitalhistology.org/histology-basics/stains/stains-3-2/,"Images from the transmission electron microscope are produced by passing a beam of electrons though the tissue, which has been stained with salts of heavy metals, usually lead and uranium. These metals block the passage of the electrons though the section, thus casting a shadow that results in dark and light areas in the image. Like hematoxylin and eosin, heavy metal staining is a conventional stain. 15,000x",1,4,Electron dense | Electron lucent | Nuclear envelope | Nucleolus,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/corantes/stains-3
16,01_histologia-basica/02_corantes/04_stains-4/index.html,página de lâmina,Toluidine blue,Histologia Básica > Corantes > Stains 4,https://digitalhistology.org/histology-basics/stains/stains-4/,"Toluidine blue is also a conventional stain. It is a blue-colored basic dye and, like hematoxylin, has a high affinity for negatively charged components of tissue. This stain is often used with plastic-embedded tissue sections. Peripheral nerve 1000x",1,5,Nuclei | Blood vessel | Axons | Myelin | Metachromasia (Mast cells),"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/corantes/stains-4
17,01_histologia-basica/02_corantes/05_stains-5/index.html,página de lâmina,Osmium,Histologia Básica > Corantes > Stains 5,https://digitalhistology.org/histology-basics/stains/stains-5/,"Osmium tetroxide is both a stain and a fixative for lipid, a chemical reaction that produces a brown color visible by light microscopy. Lipid can be distributed as small, cytoplasmic droplets (left) or a single large droplet that nearly fills the cell (right). This latter distribution occurs in adipocytes, which are specialized fat storage cells. The use of osmium to preserve lipids for electron microscopy, provides electron density to tissues. Toluidine blue stain, 1000x, 1000x",1,3,Lipid droplets | Nuclei | Cilia,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/corantes/stains-5
18,01_histologia-basica/02_corantes/06_stains-6/index.html,página de lâmina,Periodic acid-Schiff (PAS) stain,Histologia Básica > Corantes > Stains 6,https://digitalhistology.org/histology-basics/stains/stains-6/,"Periodic acid-Schiff (PAS) is a histochemical stain, that specifically localizes carbohydrates in tissues. The reaction produces a magenta color, thus identifying glycogen deposits in these liver hepatocytes. Histochemical stains are more specific than conventional stains which rely on simple charge interactions to label tissue structures. Liver 1000x",1,3,Glycogen | Nuclei | Cytoplasm,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/corantes/stains-6
19,01_histologia-basica/02_corantes/07_stains-7/index.html,página de lâmina,Cresyl violet-Luxol fast blue,Histologia Básica > Corantes > Stains 7,https://digitalhistology.org/histology-basics/stains/stains-7/,"This combination stain is also called the Kluver-Barrera method and is commonly used to stain nervous tissue. The stain consists of cresyl violet, which stains basophilic structures similarly to hematoxylin, and luxol fast blue, which stains the myelin sheath turquoise. Brainstem 400x",1,4,Nerve cells | Nuclei | Myelin | Nissl substance,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/corantes/stains-7
20,01_histologia-basica/02_corantes/08_stains-8/index.html,página de lâmina,Masson's trichrome,Histologia Básica > Corantes > Stains 8,https://digitalhistology.org/histology-basics/stains/stains-8/,"The Masson’s trichrome stain combines three dyes and is primarily used to reveal the presence of collagen. With this method, collagen stains green and the cytoplasm of cells stains red or purple. The third stain is usually a nuclear counterstain like hematoxylin. Stomach 200x",1,3,Connective tissue | Mucus | Nuclei,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/corantes/stains-8
21,01_histologia-basica/02_corantes/09_stains-10/index.html,página de lâmina,Movat's pentachrome stain,Histologia Básica > Corantes > Stains 10,https://digitalhistology.org/histology-basics/stains/stains-10/,"This complex stain utilizes five dyes to reveal the different components of tissue. With this stain, elastic fibers stain black; collagen and reticular fibers stain yellow; tissue ground substance stains blue; and cytoplasm stains red. This section of skin demonstrates this dramatic staining pattern. 200x",1,5,Elastic fibers | Collagen fibers | Ground substance | Cytoplasm | Melanin pigment,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/corantes/stains-10
22,01_histologia-basica/02_corantes/10_stains-9/index.html,página de lâmina,Elastin stain (Verhoeff's-van Gieson),Histologia Básica > Corantes > Stains 9,https://digitalhistology.org/histology-basics/stains/stains-9/,"Elastin stains, such as Verhoeff’s-van Gieson, are used to specifically reveal elastic fibers and sheets. The specificity of the stain is due to the unique chemical properties of elastin, a major protein component of elastic fibers and sheets and results in a black or brown-colored stain. Elastin stains clearly distinguish elastic fibers from collagen fibers, both of which stain with eosin. Connective tissue, 400x (l); Muscular artery, 200x (r)",1,3,Elastic fibers | Elastic sheets | Collagen fibers,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/corantes/stains-9
23,01_histologia-basica/02_corantes/11_stains-11/index.html,página de lâmina,Silver stain,Histologia Básica > Corantes > Stains 11,https://digitalhistology.org/histology-basics/stains/stains-11/,"Silver stains are unique in that they entail the precipitation of reduced silver onto tissue elements, such as nerve cells and their processes (left) and reticular fibers (right). The reaction produces a black product. Structures that stain with silver are referred to as argyrophilic. Cerebral cortex 1000x (l), Lymph node 1000x (r).",1,4,Neuronal cell body | Dendrites | Reticular fibers | Image credit,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/corantes/stains-11
24,01_histologia-basica/02_corantes/index.html,nó de navegação curricular,Stains,Histologia Básica > Corantes,https://digitalhistology.org/histology-basics/stains/,,0,0,,"Converter em índice curricular pesquisável, com objetivos, mapa de subtópicos, progresso e acesso às lâminas descendentes.",/manual-clinico/histologia/corantes
25,01_histologia-basica/index.html,nó de navegação curricular,Histology Basics,Histologia Básica,https://digitalhistology.org/histology-basics/,,0,0,,"Converter em índice curricular pesquisável, com objetivos, mapa de subtópicos, progresso e acesso às lâminas descendentes.",/manual-clinico/histologia/
26,02_celulas/01_fundamentos-da-cel/01_cell-polarity/01_cell-polarity-1/index.html,página de lâmina,Polarity,Células > Fundamentos da Célula > Cell Polarity > Cell Polarity 1,https://digitalhistology.org/cells/basics/cell-polarity/cell-polarity-1/,Polarity is a feature of cells in which their organelles are distributed asymmetrically in the cytoplasm. These triangular-shaped gland cells secrete digestive enzymes contained within secretory granules that are restricted to the apical (upper) regions of the cell. The blue-staining rough endoplasmic reticulum (RER) is the site of synthesis for these proteins and is present mostly in the basal regions. This segregation reflects the functional properties of the cells. Pancreas 1000x,1,5,Gland cells | Gland cell nuclei | Lumen | RER | Secretory granules,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/fundamentos-da-cel/cell-polarity/cell-polarity-1
27,02_celulas/01_fundamentos-da-cel/01_cell-polarity/02_cell-polarity-2/index.html,página de lâmina,Polarity,Células > Fundamentos da Célula > Cell Polarity > Cell Polarity 2,https://digitalhistology.org/cells/basics/cell-polarity/cell-polarity-2/,"By electron microscopy, the polarized arrangement of cellular structures is evident. These epithelial cells lining a kidney tubule show polarity: the basal regions contains numerous mitochondria; the apical regions contain endocytic vesicles and lysosomes, and extend microvilli that project into the lumen. 6000x",1,6,Lumen | Microvilli | Endocytic vesicles | Lysosomes | Mitochondira | Nucleus,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/fundamentos-da-cel/cell-polarity/cell-polarity-2
28,02_celulas/01_fundamentos-da-cel/01_cell-polarity/03_cell-polarity-3/index.html,página de lâmina,Polarity,Células > Fundamentos da Célula > Cell Polarity > Cell Polarity 3,https://digitalhistology.org/cells/basics/cell-polarity/cell-polarity-3/,"These cells in the pituitary gland are examples of non-polarized cells. Note how the secretory granules are homogenously distributed throughout the cytoplasm and not restricted to one region of the cell. This arrangement reflects the fact that these cells can release their secretory product from any site on the cell surface. Pituitary gland, 1000x.",1,4,Gland cells | Nuclei | Secretory granules | Capillaries,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/fundamentos-da-cel/cell-polarity/cell-polarity-3
29,02_celulas/01_fundamentos-da-cel/01_cell-polarity/index.html,nó de navegação curricular,Cell Polarity,Células > Fundamentos da Célula > Cell Polarity,https://digitalhistology.org/cells/basics/cell-polarity/,,0,0,,"Converter em índice curricular pesquisável, com objetivos, mapa de subtópicos, progresso e acesso às lâminas descendentes.",/manual-clinico/histologia/fundamentos-da-cel/cell-polarity
30,02_celulas/01_fundamentos-da-cel/02_shapes/01_cell-shapes-1/index.html,página de lâmina,Cell shapes: spherical,Células > Fundamentos da Célula > Shapes > Cell shapes 1,https://digitalhistology.org/cells/basics/shapes/cell-shapes-1/,"Cells that are in a fluid environment, e.g., blood, usually take on a spherical shape. In this blood smear, white blood cells are spherical. The red blood cells, in contrast, are bi-concave discs, which afford greater surface area for exchange of gases across the cell membrane. 1000x",1,3,White blood cells | Red blood cells | Platelets,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/fundamentos-da-cel/shapes/cell-shapes-1
31,02_celulas/01_fundamentos-da-cel/02_shapes/02_cell-shapes-2/index.html,página de lâmina,Cell shapes: spherical,Células > Fundamentos da Célula > Shapes > Cell shapes 2,https://digitalhistology.org/cells/basics/shapes/cell-shapes-2/,"Spherical cells are also present in tissues. This image shows dorsal root ganglion (DRG) neurons, which are highly specialized to conduct sensory signals into the brain and spinal cord. Each cell possesses a well-defined nucleus and nucleolus within a spherical cell body. DRG neurons are surrounded by small supporting cells (Schwann cells). Dorsal root ganglion 1000x",1,5,DRG neurons | Nuclei | Nucleoli | Cytoplasm | Supporting cells,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/fundamentos-da-cel/shapes/cell-shapes-2
32,02_celulas/01_fundamentos-da-cel/02_shapes/03_cell-shapes-3/index.html,página de lâmina,Cell shapes: squamous,Células > Fundamentos da Célula > Shapes > Cell shapes 3,https://digitalhistology.org/cells/basics/shapes/cell-shapes-3/,"Squamous cells are highly flattened such that their width is much greater than their height. These images show a single layer of squamous cells surrounding the glomerulus of the kidney (left) and forming the lining of a small blood vessel (right). Single layers of squamous cells are often found at surfaces where rapid exchange of gases or solutes is required. 1000x, 1000x",1,4,Squamous cell nuclei | Squamous cell cytoplasm | Blood vessel | Glomerulus,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/fundamentos-da-cel/shapes/cell-shapes-3
33,02_celulas/01_fundamentos-da-cel/02_shapes/04_cell-shapes-4/index.html,página de lâmina,Cell shapes: squamous,Células > Fundamentos da Célula > Shapes > Cell shapes 4,https://digitalhistology.org/cells/basics/shapes/cell-shapes-4/,"This image shows an electron micrograph of a squamous cell that lines body cavities. The cell has very little cytoplasm; note how the nucleus conforms to the shape of the cell. At its thinnest point, this cell is only 0.5 microns thick. Serous membrane 15,000x",1,5,Cytoplasm | Nucleus | Plasma membrane | Cell junction | Collagen fibrils,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/fundamentos-da-cel/shapes/cell-shapes-4
34,02_celulas/01_fundamentos-da-cel/02_shapes/05_cell-shapes-5/index.html,página de lâmina,Cell shapes: squamous,Células > Fundamentos da Célula > Shapes > Cell shapes 5,https://digitalhistology.org/cells/basics/shapes/cell-shapes-5/,"In the lining epithelium of the esophagus, squamous cells are present in multiple layers. This arrangement allows them to resist abrasion by sloughing off without damage to the underlying tissue. Note how the rounded basal cells become flattened as they reach the surface and how the shape of the nucleus conforms to the shape of each cell. 1000x",1,3,Squamous cells | Squamous cell nuclei | Basal cell nuclei,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/fundamentos-da-cel/shapes/cell-shapes-5
35,02_celulas/01_fundamentos-da-cel/02_shapes/06_cell-shapes-6/index.html,página de lâmina,Cell shapes: cuboidal,Células > Fundamentos da Célula > Shapes > Cell shapes 6,https://digitalhistology.org/cells/basics/shapes/cell-shapes-6/,"In this kidney section, tubular structures are composed of cells with a wide range of shapes from squamous to cuboidal. Cuboidal cells are shaped like a cube with roughly equal height and width; their nuclei are usually spherical. Cuboidal cells often form tubes or tubules, a number of which are seen in this image. 1000x",1,5,Cuboidal cells | Nuclei | Low cuboidal cells | Squamous cells | Lumens,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/fundamentos-da-cel/shapes/cell-shapes-6
36,02_celulas/01_fundamentos-da-cel/02_shapes/07_cell-shapes-7/index.html,página de lâmina,Cell shapes: columnar,Células > Fundamentos da Célula > Shapes > Cell shapes 7,https://digitalhistology.org/cells/basics/shapes/cell-shapes-7/,"Columnar cells are shaped like columns and, as such, are much taller than they are wide. The oval nucleus conforms to the cell’s shape, with its long axis parallel to the height of the cell. The lateral cell boundaries are also visible in this section. This single row of columnar cells lines the digestive tract. Small intestine 1000x",1,5,Columnar cell | Nuclei | Cytoplasm | Cell boundaries | Lumen,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/fundamentos-da-cel/shapes/cell-shapes-7
37,02_celulas/01_fundamentos-da-cel/02_shapes/08_cell-shapes-8/index.html,página de lâmina,Cell shapes: stellate,Células > Fundamentos da Célula > Shapes > Cell shapes 8,https://digitalhistology.org/cells/basics/shapes/cell-shapes-8/,"A stellate, or star-shaped nerve cell (multipolar neuron) has numerous long processes emanating from the cell body. The cytoplasm is filled with clumps of rough endoplasmic reticulum and polysomes called Nissl bodies. The numerous processes provide impulse conduction between multiple cells. Spinal cord 400x",1,5,Cell body | Nucleus | Nucleolus | Nissl bodies | Processes,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/fundamentos-da-cel/shapes/cell-shapes-8
38,02_celulas/01_fundamentos-da-cel/02_shapes/09_cell-shapes-9/index.html,página de lâmina,Cell shapes: spindle,Células > Fundamentos da Célula > Shapes > Cell shapes 9,https://digitalhistology.org/cells/basics/shapes/cell-shapes-9/,"This composite image shows the morphology of spindle-shaped smooth muscle cells. As shown in the top panel, these cells are long, thin and taper at their ends. The nucleus is located midway along their length. This structure allows the cells to assemble into a tissue that forms compact sheets or layers, often forming the wall of hollow organs. The middle panel shows smooth muscle tissue in the wall of the digestive tract, the bottom panel is an illustration of that region. Top and middle panels 400x",1,2,Spindle shape | Nuclei,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/fundamentos-da-cel/shapes/cell-shapes-9
39,02_celulas/01_fundamentos-da-cel/02_shapes/index.html,nó de navegação curricular,Shapes,Células > Fundamentos da Célula > Shapes,https://digitalhistology.org/cells/basics/shapes/,,0,0,,"Converter em índice curricular pesquisável, com objetivos, mapa de subtópicos, progresso e acesso às lâminas descendentes.",/manual-clinico/histologia/fundamentos-da-cel/shapes
40,02_celulas/01_fundamentos-da-cel/index.html,nó de navegação curricular,Basics,Células > Fundamentos da Célula,https://digitalhistology.org/cells/basics/,,0,0,,"Converter em índice curricular pesquisável, com objetivos, mapa de subtópicos, progresso e acesso às lâminas descendentes.",/manual-clinico/histologia/fundamentos-da-cel
41,02_celulas/02_estruturas/01_visao-geral/01_cell-structures-ov/index.html,página de lâmina,Overview of cell structures,Células > Estruturas > Visão Geral > Cell structures overview,https://digitalhistology.org/cells/structures-2/overview/cell-structures-overview/,"The cell consists of two major compartments, cytoplasm and nucleus. Located throughout the cytoplasm are membranous organelles, e.g., endoplasmic reticulum, lysosomes and mitochondria, as well as non-membranous organelles, e.g., polysomes and centrioles. The nucleus is surrounded by two membranes which are continuous with the endoplasmic reticulum.",1,15,Nucleus | Nucleolus | Endoplasmic reticulum | Golgi apparatus | Secretory granules | Lysosomes | Mitochondrion | Lipid droplets | Centrioles | Polysomes | Glycogen | Junctional complexes | Hemidesmosomes | Microvilli | Cilia,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/estruturas/visao-geral/cell-structures-ov
42,02_celulas/02_estruturas/01_visao-geral/index.html,nó de navegação curricular,Overview of cell structures,Células > Estruturas > Visão Geral,https://digitalhistology.org/cells/structures-2/overview/,,0,0,,"Converter em índice curricular pesquisável, com objetivos, mapa de subtópicos, progresso e acesso às lâminas descendentes.",/manual-clinico/histologia/estruturas/visao-geral
43,02_celulas/02_estruturas/02_membranas/01_membranes-1/index.html,página de lâmina,Membranes,Células > Estruturas > Membranas > Membranes 1,https://digitalhistology.org/cells/structures-2/membranes/membranes-1/,"Membranes are present throughout the cell and serve multiple functions. They form a unique membrane at the cell surface (plasma membrane), surround the nucleus, and form membranous intracellular organelles, such as endoplasmic reticulum, mitochondria and vesicles. All these membranes are unit membranes, consisting of a phospholipid bilayer and protein; integral membrane proteins span the bilayer; peripheral proteins associate with the inner surface of the membrane.",1,7,Plasma membrane | Nuclear envelope | RER | SER | Golgi apparatus | Mitochondria | Vesicles,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/estruturas/membranas/membranes-1
