tipo,arquivo_local,pagina_origem,caminho_setorial,rotulo,legenda_ia,sha256,bytes
marcador-overlay,04_orgaos-e-sistemas/09_sistema-reprodutor/02_feminino/02_ovary/01_ovary-1/imagens/marcadores/O.R.F.OV_.01A-1A-ping.png,https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-1/,Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 1,Serosa,"Camada transparente de anotacao da pagina 'Ovary'. Deve ser sobreposta, sem redimensionamento independente, a 'O.R.F.OV_.01A.jpg'. Destaca a estrutura ou conceito 'Serosa' por setas, contornos ou marcadores coloridos (incluindo vermelho quando presente). Explicacao original: The serosa (serous membrane or visceral peritoneum) covering the ovary possesses a simple cuboidal, rather than a simple squamous, epithelium. This epithelium is referred to as the germinal epithelium.. Contexto setorial: Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 1. Origem: Digital Histology, https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-1/, acesso em 2026-08-07.",9619b525372396a8a86d0633b6f20c9c6ad4cda79eef2e6f1cd2a24aca1379ab,17605
marcador-overlay,04_orgaos-e-sistemas/09_sistema-reprodutor/02_feminino/02_ovary/01_ovary-1/imagens/marcadores/O.R.F.OV_.01A-2-ping.png,https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-1/,Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 1,Tunica albuginea,"Camada transparente de anotacao da pagina 'Ovary'. Deve ser sobreposta, sem redimensionamento independente, a 'O.R.F.OV_.01A.jpg'. Destaca a estrutura ou conceito 'Tunica albuginea' por setas, contornos ou marcadores coloridos (incluindo vermelho quando presente). Explicacao original: A tunica albuginea of dense connective tissue forms an outer shell beneath the serosa.. Contexto setorial: Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 1. Origem: Digital Histology, https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-1/, acesso em 2026-08-07.",e433c6e990ad101e65401bdceeb4dba20ad90fa0304decc7245c62b8bfe2d959,19031
marcador-overlay,04_orgaos-e-sistemas/09_sistema-reprodutor/02_feminino/02_ovary/01_ovary-1/imagens/marcadores/O.R.F.OV_.01A-3-ping.png,https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-1/,Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 1,Cortex,"Camada transparente de anotacao da pagina 'Ovary'. Deve ser sobreposta, sem redimensionamento independente, a 'O.R.F.OV_.01A.jpg'. Destaca a estrutura ou conceito 'Cortex' por setas, contornos ou marcadores coloridos (incluindo vermelho quando presente). Explicacao original: The cortex forms the outer zone of the ovary. The cortex contains follicles, the corpus luteum, and the degenerating elements of these two structures, atretic follicles and corpora albicantia (sing. corpus albicans), respectively.. Contexto setorial: Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 1. Origem: Digital Histology, https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-1/, acesso em 2026-08-07.",b26b49bc40d4bc8f6e89e70c8d65c7ce4e669af5c39a070259a2cb407c5344d7,18668
marcador-overlay,04_orgaos-e-sistemas/09_sistema-reprodutor/02_feminino/02_ovary/01_ovary-1/imagens/marcadores/O.R.F.OV_.01A-4-ping.png,https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-1/,Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 1,Medulla,"Camada transparente de anotacao da pagina 'Ovary'. Deve ser sobreposta, sem redimensionamento independente, a 'O.R.F.OV_.01A.jpg'. Destaca a estrutura ou conceito 'Medulla' por setas, contornos ou marcadores coloridos (incluindo vermelho quando presente). Explicacao original: The medulla occupies the center of the ovary and is composed of connective tissue containing blood vessels, lymphatic vessels, and nerves that supply the ovary.. Contexto setorial: Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 1. Origem: Digital Histology, https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-1/, acesso em 2026-08-07.",e80b7e1d5c39f6cfb4ce40263a80c1a46cb4ac16b1acb65a87613d82ae191f2f,18495
marcador-overlay,04_orgaos-e-sistemas/09_sistema-reprodutor/02_feminino/02_ovary/01_ovary-1/imagens/marcadores/O.R.F.OV_.01A-5-ping.png,https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-1/,Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 1,Mesovarium,"Camada transparente de anotacao da pagina 'Ovary'. Deve ser sobreposta, sem redimensionamento independente, a 'O.R.F.OV_.01A.jpg'. Destaca a estrutura ou conceito 'Mesovarium' por setas, contornos ou marcadores coloridos (incluindo vermelho quando presente). Explicacao original: The ovary is suspended from the broad ligament of the uterus by the mesovarium, through which blood vessels enter and leave the ovary.. Contexto setorial: Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 1. Origem: Digital Histology, https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-1/, acesso em 2026-08-07.",3d256ded8176ca91f78bc8aa1c7fabc93d383a4675030d3a8dfbe0c5a84a6826,16104
marcador-overlay,04_orgaos-e-sistemas/09_sistema-reprodutor/02_feminino/02_ovary/01_ovary-1/imagens/marcadores/O.R.F.OV_.01A-6-ping.png,https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-1/,Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 1,Next image,"Camada transparente de anotacao da pagina 'Ovary'. Deve ser sobreposta, sem redimensionamento independente, a 'O.R.F.OV_.01A.jpg'. Destaca a estrutura ou conceito 'Next image' por setas, contornos ou marcadores coloridos (incluindo vermelho quando presente). Explicacao original: The next image is similar to that indicated by the outline.. Contexto setorial: Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 1. Origem: Digital Histology, https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-1/, acesso em 2026-08-07.",27a838590c1f82d18de1961f2adee8511d10103072708d26ea4aaf49857df498,13532
marcador-overlay,04_orgaos-e-sistemas/09_sistema-reprodutor/02_feminino/02_ovary/01_ovary-1/imagens/marcadores/O.R.F.OV_.01A-7-ping.png,https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-1/,Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 1,Image source,"Camada transparente de anotacao da pagina 'Ovary'. Deve ser sobreposta, sem redimensionamento independente, a 'O.R.F.OV_.01A.jpg'. Destaca a estrutura ou conceito 'Image source' por setas, contornos ou marcadores coloridos (incluindo vermelho quando presente). Explicacao original: This image is taken of a slide in the University of Mississippi collection.. Contexto setorial: Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 1. Origem: Digital Histology, https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-1/, acesso em 2026-08-07.",85af6653fe94fe3565f4cedbe1471f18d7bc4337c63009381696c75090b2705d,11817
imagem-base,04_orgaos-e-sistemas/09_sistema-reprodutor/02_feminino/02_ovary/02_ovary-2/imagens/base/O.R.F.OV_.02.jpg,https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-2/,Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 2,,"Imagem-base educacional de histologia da pagina 'Ovary', no setor Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 2. Descricao original da pagina: This enlargement shows the serosa, composed of the germinal epithelium and a thin connective tissue layer, overlying the tunica albuginea. An outer cortex contains follicles of varying sizes, while the inner medulla is composed of loose connective tissue with blood vessels, lymphatic vessels and nerves. 40x. Este arquivo nao contem os marcadores interativos; use as camadas PNG relacionadas para localizar estruturas. Origem: Digital Histology, https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-2/, acesso em 2026-08-07.",d4e4d9457a3c56ba283c70b99b45fb4f2e41246796fe80bc39aec17c2bd1de14,3569544
marcador-overlay,04_orgaos-e-sistemas/09_sistema-reprodutor/02_feminino/02_ovary/02_ovary-2/imagens/marcadores/O.R.F.OV_.02.P01.png,https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-2/,Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 2,Cortex,"Camada transparente de anotacao da pagina 'Ovary'. Deve ser sobreposta, sem redimensionamento independente, a 'O.R.F.OV_.02.jpg'. Destaca a estrutura ou conceito 'Cortex' por setas, contornos ou marcadores coloridos (incluindo vermelho quando presente). Explicacao original: This enlargement shows the serosa, composed of the germinal epithelium and a thin connective tissue layer, overlying the tunica albuginea. An outer cortex contains follicles of varying sizes, while the inner medulla is composed of loose connective tissue with blood vessels, lymphatic vessels and nerves. 40x. Contexto setorial: Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 2. Origem: Digital Histology, https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-2/, acesso em 2026-08-07.",664932a996371510bfd82392ec8e905a1f261b267907ae41eb05700f01140a01,43902
marcador-overlay,04_orgaos-e-sistemas/09_sistema-reprodutor/02_feminino/02_ovary/02_ovary-2/imagens/marcadores/O.R.F.OV_.02.P02.png,https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-2/,Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 2,Medulla,"Camada transparente de anotacao da pagina 'Ovary'. Deve ser sobreposta, sem redimensionamento independente, a 'O.R.F.OV_.02.jpg'. Destaca a estrutura ou conceito 'Medulla' por setas, contornos ou marcadores coloridos (incluindo vermelho quando presente). Explicacao original: This enlargement shows the serosa, composed of the germinal epithelium and a thin connective tissue layer, overlying the tunica albuginea. An outer cortex contains follicles of varying sizes, while the inner medulla is composed of loose connective tissue with blood vessels, lymphatic vessels and nerves. 40x. Contexto setorial: Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 2. Origem: Digital Histology, https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-2/, acesso em 2026-08-07.",29fbb5966277d9c0af2a081843d840e0a93c90026d2e636eb16be5e7b67c0874,42225
marcador-overlay,04_orgaos-e-sistemas/09_sistema-reprodutor/02_feminino/02_ovary/02_ovary-2/imagens/marcadores/O.R.F.OV_.02.P03.png,https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-2/,Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 2,Serosa,"Camada transparente de anotacao da pagina 'Ovary'. Deve ser sobreposta, sem redimensionamento independente, a 'O.R.F.OV_.02.jpg'. Destaca a estrutura ou conceito 'Serosa' por setas, contornos ou marcadores coloridos (incluindo vermelho quando presente). Explicacao original: The serosal epithelium covering the ovary is called germinal epithelium, so named because it was once thought to be the site of germ cell formation. It is a simple cuboidal epithelium rather than the simple squamous usually found in a serosa.. Contexto setorial: Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 2. Origem: Digital Histology, https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-2/, acesso em 2026-08-07.",e2abb7b064af48b8fa3a721e844e69f2c1a56d4e821f941711d0e23dd19d6d91,45307
marcador-overlay,04_orgaos-e-sistemas/09_sistema-reprodutor/02_feminino/02_ovary/02_ovary-2/imagens/marcadores/O.R.F.OV_.02.P04.png,https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-2/,Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 2,Tunica albuginea,"Camada transparente de anotacao da pagina 'Ovary'. Deve ser sobreposta, sem redimensionamento independente, a 'O.R.F.OV_.02.jpg'. Destaca a estrutura ou conceito 'Tunica albuginea' por setas, contornos ou marcadores coloridos (incluindo vermelho quando presente). Explicacao original: The connective tissue beneath the epithelium is thickened to form the tunica albuginea, a dense connective tissue layer.. Contexto setorial: Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 2. Origem: Digital Histology, https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-2/, acesso em 2026-08-07.",7a22b5cb8b1de3cfec3083f50fa35cba5e09822fa55f0eea50572431b26faca2,313088
marcador-overlay,04_orgaos-e-sistemas/09_sistema-reprodutor/02_feminino/02_ovary/02_ovary-2/imagens/marcadores/O.R.F.OV_.02.P05.png,https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-2/,Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 2,Follicles,"Camada transparente de anotacao da pagina 'Ovary'. Deve ser sobreposta, sem redimensionamento independente, a 'O.R.F.OV_.02.jpg'. Destaca a estrutura ou conceito 'Follicles' por setas, contornos ou marcadores coloridos (incluindo vermelho quando presente). Explicacao original: Small follicles (arrows) are clustered beneath the tunica albuginea, while larger follicles (X) are located deeper in the cortex.. Contexto setorial: Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 2. Origem: Digital Histology, https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-2/, acesso em 2026-08-07.",6a82cecd19e25e6576da05917b3de67d33e6acebf3822f1af0fd5616eb6e4cd9,47828
marcador-overlay,04_orgaos-e-sistemas/09_sistema-reprodutor/02_feminino/02_ovary/02_ovary-2/imagens/marcadores/O.R.F.OV_.02.P07.png,https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-2/,Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 2,Next image,"Camada transparente de anotacao da pagina 'Ovary'. Deve ser sobreposta, sem redimensionamento independente, a 'O.R.F.OV_.02.jpg'. Destaca a estrutura ou conceito 'Next image' por setas, contornos ou marcadores coloridos (incluindo vermelho quando presente). Explicacao original: The next image is similar to the area outlined by the rectangle.. Contexto setorial: Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 2. Origem: Digital Histology, https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-2/, acesso em 2026-08-07.",6d6da40ac537b495238c04a1634d62f22b895cab298d8e515dd94f624ef64bcb,39623
